                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss
                      1,                  1.002,                  4.694,                0.43189,               0.070034,              0.0033295,              0.0033295,                0.08363,                0.01711,                  0.048,                 0.0117,                 3.1087,                 6.0976,                 1.1258
                      2,                 3.4873,                 3.1301,                 1.2859,               0.040021,              0.0066496,              0.0066496,                0.38589,                0.01775,                0.20086,                0.08766,                 2.7476,                 2.2356,                0.99588
                      3,                 3.0715,                 2.5387,                 1.1351,              0.0099949,              0.0099566,              0.0099566,                  0.604,                0.06893,                0.33699,                0.12232,                 2.4891,                 1.9806,                0.92361
                      4,                 2.7836,                  2.055,                 1.0728,              0.0099406,              0.0099406,              0.0099406,                0.80338,                0.07684,                0.43413,                0.23626,                 2.4167,                 1.7547,                0.92033
                      5,                 2.5651,                   1.72,                  1.031,              0.0099406,              0.0099406,              0.0099406,                0.51389,                 0.1867,                0.33606,                0.15164,                 2.1644,                 1.4408,                0.86431
                      6,                 2.4765,                 1.6239,                 1.0143,              0.0099208,              0.0099208,              0.0099208,                0.64815,                0.09938,                0.37383,                0.12075,                 2.1162,                 1.5191,                0.85896
                      7,                 2.4039,                 1.4977,                 1.0026,               0.009901,               0.009901,               0.009901,                0.85745,                0.28311,                0.56764,                0.24962,                 2.0247,                 1.2989,                0.85255
                      8,                 2.3201,                 1.3814,                0.98706,              0.0098812,              0.0098812,              0.0098812,                0.92479,                0.15253,                0.53511,                0.24989,                 1.9358,                 1.2073,                0.84155
                      9,                 2.2693,                 1.3417,                0.98239,              0.0098614,              0.0098614,              0.0098614,                 0.8449,                 0.2882,                 0.5695,                0.31092,                  1.925,                  1.133,                0.83252
                     10,                 2.2262,                 1.2727,                0.97007,              0.0098416,              0.0098416,              0.0098416,                0.89447,                0.24966,                0.56882,                0.28315,                 1.8453,                 1.0895,                0.82702
                     11,                 2.1862,                 1.2481,                0.95676,              0.0098218,              0.0098218,              0.0098218,                0.84313,                0.16352,                0.50349,                0.24461,                 1.9171,                 1.0973,                0.83395
                     12,                 2.1448,                 1.2192,                0.95918,               0.009802,               0.009802,               0.009802,                0.91162,                0.24996,                 0.5795,                0.29483,                 1.8679,                 1.0966,                0.82498
                     13,                 2.1289,                  1.219,                0.95178,              0.0097822,              0.0097822,              0.0097822,                0.91123,                 0.2591,                0.58094,                0.27827,                 1.8015,                 1.0413,                0.82123
                     14,                 2.1154,                 1.1901,                0.94659,              0.0097624,              0.0097624,              0.0097624,                0.91834,                0.27893,                0.59818,                0.33077,                 1.8224,                 1.0528,                0.81868
                     15,                 2.0626,                 1.1331,                 0.9469,              0.0097426,              0.0097426,              0.0097426,                0.92373,                0.29921,                0.61511,                0.32982,                 1.7563,                 1.0093,                0.81102
                     16,                 2.0594,                 1.1589,                0.94497,              0.0097228,              0.0097228,              0.0097228,                0.93991,                0.33905,                0.63804,                0.32859,                 1.7468,                0.97886,                0.80445
                     17,                 2.0498,                 1.1269,                0.94191,               0.009703,               0.009703,               0.009703,                0.88136,                0.41891,                0.65771,                0.34322,                 1.7191,                0.95598,                 0.8081
                     18,                 2.0382,                 1.1018,                0.93754,              0.0096832,              0.0096832,              0.0096832,                0.91325,                0.36133,                0.63652,                0.35267,                 1.6688,                 0.9327,                  0.801
                     19,                 2.0367,                 1.1263,                0.93868,              0.0096634,              0.0096634,              0.0096634,                0.92582,                0.32901,                0.63126,                0.31764,                 1.6904,                 0.9318,                0.80477
                     20,                 2.0012,                 1.0806,                0.93463,              0.0096436,              0.0096436,              0.0096436,                0.93075,                0.26042,                0.59349,                0.33869,                 1.6735,                0.90751,                 0.8043
                     21,                 2.0208,                  1.103,                0.93506,              0.0096238,              0.0096238,              0.0096238,                0.91775,                 0.3053,                0.61277,                0.35497,                 1.6822,                0.90183,                  0.801
                     22,                 1.9801,                 1.0627,                0.92412,               0.009604,               0.009604,               0.009604,                 0.9075,                0.37815,                0.64507,                0.35845,                 1.6593,                 0.9052,                0.80241
                     23,                 1.9555,                 1.0279,                0.92724,              0.0095842,              0.0095842,              0.0095842,                0.95587,                0.36489,                0.65851,                0.38688,                 1.6153,                0.87508,                0.79455
                     24,                 1.9631,                 1.0321,                0.92282,              0.0095644,              0.0095644,              0.0095644,                0.88676,                0.40424,                 0.6437,                0.36366,                 1.6009,                0.85756,                0.79619
                     25,                 1.9544,                 1.0503,                0.92312,              0.0095446,              0.0095446,              0.0095446,                0.95122,                0.33825,                0.64643,                0.38541,                 1.6332,                 1.0274,                0.79573
                     26,                 1.9438,                 1.0199,                0.91758,              0.0095248,              0.0095248,              0.0095248,                0.93876,                0.39122,                0.66953,                0.40363,                 1.5788,                0.85599,                0.79371
                     27,                 1.9383,                 1.0118,                0.92366,               0.009505,               0.009505,               0.009505,                 0.9064,                0.37338,                0.64569,                0.34324,                 1.6101,                0.85681,                0.79317
                     28,                 1.9289,                 1.0148,                 0.9176,              0.0094852,              0.0094852,              0.0094852,                0.96256,                0.41071,                0.68925,                 0.4051,                 1.5751,                0.81915,                 0.7923
                     29,                  1.913,                 1.0074,                0.92104,              0.0094654,              0.0094654,              0.0094654,                0.91495,                0.29736,                0.61128,                0.34511,                 1.5811,                0.86017,                0.79091
                     30,                 1.9034,                 0.9926,                0.91615,              0.0094456,              0.0094456,              0.0094456,                0.90663,                0.38605,                0.64915,                0.37331,                 1.5507,                0.81414,                0.79381
                     31,                 1.9209,                 1.0116,                0.92102,              0.0094258,              0.0094258,              0.0094258,                0.91857,                0.43494,                0.67982,                0.38241,                 1.5688,                0.81876,                0.79304
                     32,                 1.8979,                0.97642,                0.91892,               0.009406,               0.009406,               0.009406,                0.94404,                0.36525,                0.65385,                0.37294,                 1.5506,                0.82898,                0.79084
                     33,                 1.8928,                0.98463,                0.91615,              0.0093862,              0.0093862,              0.0093862,                0.92048,                0.38366,                0.65661,                0.35953,                 1.5806,                0.87289,                0.79317
                     34,                 1.9049,                0.99602,                 0.9161,              0.0093664,              0.0093664,              0.0093664,                0.93791,                0.41783,                0.67552,                0.40503,                 1.5514,                0.79303,                0.78807
                     35,                 1.8961,                 1.0013,                0.91105,              0.0093466,              0.0093466,              0.0093466,                0.93106,                0.38766,                0.66021,                0.35812,                 1.5659,                  0.784,                0.78734
                     36,                 1.8569,                0.96459,                0.91115,              0.0093268,              0.0093268,              0.0093268,                0.90567,                0.40584,                0.65665,                0.37826,                 1.5089,                0.76532,                0.78707
                     37,                 1.8747,                  0.974,                0.90992,               0.009307,               0.009307,               0.009307,                0.93641,                0.34397,                0.63945,                  0.358,                 1.5093,                0.79485,                 0.7835
                     38,                 1.8729,                0.95475,                0.91711,              0.0092872,              0.0092872,              0.0092872,                0.90875,                0.34718,                0.63055,                0.36497,                 1.4977,                 0.7719,                0.78443
                     39,                 1.8726,                0.96448,                0.90986,              0.0092674,              0.0092674,              0.0092674,                0.94173,                0.40816,                0.67591,                0.39127,                 1.5056,                0.76062,                0.78603
                     40,                 1.8543,                0.94167,                0.90613,              0.0092476,              0.0092476,              0.0092476,                 0.9558,                0.32694,                0.64092,                0.36833,                 1.5005,                0.73907,                0.78455
                     41,                 1.8524,                0.95528,                0.90143,              0.0092278,              0.0092278,              0.0092278,                0.94737,                0.43795,                0.69422,                 0.3925,                 1.4992,                0.76799,                 0.7862
                     42,                 1.8264,                0.94322,                0.90161,               0.009208,               0.009208,               0.009208,                 0.9041,                0.34988,                0.63014,                0.35289,                 1.4959,                0.74621,                0.78493
                     43,                 1.8489,                0.94327,                0.90495,              0.0091882,              0.0091882,              0.0091882,                0.90821,                0.41486,                0.66566,                0.37476,                  1.493,                0.77008,                0.78225
                     44,                 1.8319,                0.94585,                0.90427,              0.0091684,              0.0091684,              0.0091684,                0.92428,                0.42913,                0.67525,                0.39648,                 1.4577,                0.73712,                0.77798
                     45,                 1.8245,                0.92819,                0.90428,              0.0091486,              0.0091486,              0.0091486,                0.93555,                0.44874,                0.69772,                0.41674,                 1.4811,                0.73896,                0.78065
                     46,                 1.8227,                0.91118,                0.90491,              0.0091288,              0.0091288,              0.0091288,                0.92417,                0.40381,                0.66776,                0.38288,                 1.4898,                0.72849,                0.78116
                     47,                 1.8436,                0.93073,                0.90422,               0.009109,               0.009109,               0.009109,                0.94324,                0.45662,                0.70267,                0.39981,                 1.4782,                0.72867,                0.77765
                     48,                 1.8299,                 0.9203,                0.90831,              0.0090892,              0.0090892,              0.0090892,                0.93099,                0.48375,                0.70655,                0.40574,                 1.4639,                0.73443,                0.78058
                     49,                 1.8079,                 0.9147,                0.90513,              0.0090694,              0.0090694,              0.0090694,                0.94018,                0.46588,                0.70599,                0.40393,                 1.4723,                 0.7401,                0.78125
                     50,                 1.8157,                0.92139,                0.90145,              0.0090496,              0.0090496,              0.0090496,                0.95889,                0.45738,                0.71077,                0.39347,                 1.4385,                0.72875,                0.77698
                     51,                  1.818,                0.90788,                0.90567,              0.0090298,              0.0090298,              0.0090298,                0.95957,                0.36572,                0.66481,                0.37867,                 1.4323,                0.73661,                0.77864
                     52,                 1.8315,                0.93786,                0.90408,                0.00901,                0.00901,                0.00901,                0.92986,                0.45305,                0.69177,                0.38045,                 1.4371,                0.72315,                0.77948
                     53,                 1.7977,                0.91152,                0.89959,              0.0089902,              0.0089902,              0.0089902,                0.94698,                0.42977,                0.68835,                0.39208,                  1.423,                0.71327,                 0.7759
                     54,                 1.8064,                0.89941,                0.90465,              0.0089704,              0.0089704,              0.0089704,                0.93511,                0.47353,                0.70713,                0.41523,                 1.4419,                 0.7008,                0.77623
                     55,                 1.8051,                0.90355,                0.90128,              0.0089506,              0.0089506,              0.0089506,                0.96141,                0.41806,                0.68843,                0.38478,                 1.4392,                0.70585,                0.77745
