                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss
                      1,                 1.6066,                 8.5662,                 1.1657,               0.070476,              0.0032804,              0.0032804,                      0,                      0,                      0,                      0,                 2.8869,                 3.0596,                 1.9608
                      2,                 3.1946,                 3.0971,                 2.4192,               0.040463,              0.0066007,              0.0066007,                      0,                      0,                      0,                      0,                 2.7089,                 2.8801,                 1.8123
                      3,                  3.465,                 3.0071,                 2.1497,               0.010437,              0.0099077,              0.0099077,                0.09139,                0.26718,                0.04493,                0.01118,                 3.3654,                 15.177,                 6.1079
                      4,                 3.1068,                 2.8062,                 1.6981,              0.0099406,              0.0099406,              0.0099406,                0.15789,                 0.1145,                0.06475,                0.01686,                 3.2057,                 88.275,                   2.75
                      5,                  2.935,                 2.5221,                 1.4823,              0.0099406,              0.0099406,              0.0099406,                0.35004,                0.45634,                0.29626,                0.06045,                 3.1042,                 2.0512,                 2.2496
                      6,                 2.6518,                 2.2746,                 1.3606,              0.0099208,              0.0099208,              0.0099208,                0.47839,                 0.6021,                 0.5086,                 0.1633,                 2.2398,                 1.7855,                  1.564
                      7,                 2.4916,                 2.1767,                 1.2718,               0.009901,               0.009901,               0.009901,                0.29553,                0.63359,                 0.4775,                0.19645,                 2.3057,                 9.6898,                 1.5656
                      8,                 2.5753,                  1.977,                 1.2752,              0.0098812,              0.0098812,              0.0098812,                0.20696,                0.49618,                 0.1639,                0.04077,                 2.7562,                 3.5733,                 1.5687
                      9,                 2.3453,                 1.9407,                 1.1829,              0.0098614,              0.0098614,              0.0098614,                0.43189,                0.57252,                0.41334,                 0.1386,                 2.1709,                 2.2334,                 1.3644
                     10,                 2.2576,                 1.8343,                 1.1675,              0.0098416,              0.0098416,              0.0098416,                0.66838,                0.72312,                0.69897,                0.27501,                 1.9255,                 1.5145,                  1.288
                     11,                 2.2162,                 1.7773,                 1.1457,              0.0098218,              0.0098218,              0.0098218,                0.66434,                0.48348,                0.60693,                0.21857,                 2.1197,                 1.9381,                 1.3275
                     12,                 2.1955,                 1.5373,                 1.1046,               0.009802,               0.009802,               0.009802,                0.53752,                0.69466,                 0.5709,                0.20729,                  2.117,                 1.5017,                 1.2754
                     13,                 2.1268,                 1.6955,                 1.1004,              0.0097822,              0.0097822,              0.0097822,                0.65849,                 0.4563,                0.50071,                0.24549,                 1.6643,                 2.0925,                 1.2344
                     14,                 2.0862,                 1.5456,                  1.076,              0.0097624,              0.0097624,              0.0097624,                0.46926,                0.51145,                0.55919,                0.24011,                 1.6691,                 1.7463,                 1.1486
                     15,                 1.9197,                 1.6005,                 1.0363,              0.0097426,              0.0097426,              0.0097426,                0.62003,                0.74737,                0.63972,                0.28351,                 2.0174,                 1.3832,                 1.2333
                     16,                  1.987,                 1.4288,                 1.0367,              0.0097228,              0.0097228,              0.0097228,                0.73845,                0.62502,                0.71358,                0.35705,                 1.5216,                 1.4343,                 1.1483
                     17,                 1.9424,                 1.4742,                 1.0553,               0.009703,               0.009703,               0.009703,                0.55982,                0.59222,                0.60275,                0.23023,                 1.9052,                 1.4205,                 1.2021
                     18,                 1.8797,                 1.3858,                 1.0552,              0.0096832,              0.0096832,              0.0096832,                0.56236,                0.81679,                0.72875,                0.35908,                 1.5421,                 1.2449,                 1.0897
                     19,                 1.8693,                 1.3377,                 1.0264,              0.0096634,              0.0096634,              0.0096634,                0.67167,                0.79389,                0.75764,                0.38062,                  1.573,                 1.3671,                 1.1066
                     20,                 1.7736,                 1.4089,                 1.0186,              0.0096436,              0.0096436,              0.0096436,                0.65042,                0.85219,                0.77232,                0.34924,                 1.6783,                 1.2503,                 1.1173
                     21,                 1.8618,                 1.2572,                 1.0223,              0.0096238,              0.0096238,              0.0096238,                0.55286,                0.71756,                0.62005,                 0.2507,                 1.7113,                 1.3344,                 1.1379
                     22,                  1.776,                 1.3017,                 1.0127,               0.009604,               0.009604,               0.009604,                 0.6986,                0.68702,                0.74105,                0.40008,                 1.4564,                 1.2552,                 1.0964
                     23,                 1.7482,                 1.3075,                 1.0126,              0.0095842,              0.0095842,              0.0095842,                0.68228,                0.77044,                0.75418,                0.37799,                 1.4667,                 1.3308,                 1.0831
                     24,                 1.7755,                 1.3433,                0.99886,              0.0095644,              0.0095644,              0.0095644,                 0.5943,                0.77863,                0.77265,                 0.3473,                 1.6386,                  1.328,                 1.0971
                     25,                 1.7343,                 1.3051,                 1.0098,              0.0095446,              0.0095446,              0.0095446,                0.65554,                0.82443,                 0.7861,                0.38355,                 1.4765,                 1.1524,                 1.1026
                     26,                 1.7084,                 1.2549,                0.99389,              0.0095248,              0.0095248,              0.0095248,                0.57485,                0.58015,                 0.6694,                0.33192,                 1.4284,                 1.3674,                 1.0638
                     27,                  1.722,                 1.1331,                0.98069,               0.009505,               0.009505,               0.009505,                 0.6557,                0.82443,                0.73748,                 0.3488,                 1.7211,                 1.1649,                 1.1389
                     28,                 1.6306,                 1.1768,                0.95847,              0.0094852,              0.0094852,              0.0094852,                0.73148,                0.78626,                0.77398,                0.36624,                 1.6484,                 1.1778,                  1.088
                     29,                 1.6707,                 1.1718,                0.95892,              0.0094654,              0.0094654,              0.0094654,                0.74331,                0.83206,                0.81256,                0.43132,                 1.5399,                 1.1502,                 1.0871
                     30,                 1.6356,                 1.2247,                0.98098,              0.0094456,              0.0094456,              0.0094456,                0.62969,                0.77099,                0.72231,                0.36056,                 1.5385,                  1.192,                 1.0991
                     31,                 1.6465,                 1.2096,                0.96901,              0.0094258,              0.0094258,              0.0094258,                0.71012,                0.77863,                0.77432,                0.40014,                 1.5556,                 1.2067,                 1.0779
                     32,                 1.5874,                 1.1337,                0.95075,               0.009406,               0.009406,               0.009406,                0.67126,                0.79389,                0.75421,                0.39436,                 1.4186,                 1.0958,                 1.0316
                     33,                 1.6815,                  1.088,                0.95158,              0.0093862,              0.0093862,              0.0093862,                0.60017,                0.80209,                0.76955,                0.36371,                 1.5739,                 1.2939,                 1.0453
                     34,                 1.5637,                 1.2053,                0.95166,              0.0093664,              0.0093664,              0.0093664,                0.73628,                0.83118,                0.86448,                 0.4801,                 1.4465,                  1.244,                 1.0533
                     35,                 1.5871,                 1.1208,                 0.9477,              0.0093466,              0.0093466,              0.0093466,                0.74274,                0.79341,                  0.851,                0.44739,                 1.5411,                 1.1205,                 1.0485
                     36,                 1.5736,                 1.1059,                0.95356,              0.0093268,              0.0093268,              0.0093268,                0.26496,                0.94656,                0.66987,                0.35095,                 1.7099,                 2.3239,                 1.1076
                     37,                 1.5812,                 1.0839,                0.96003,               0.009307,               0.009307,               0.009307,                0.66651,                0.70179,                 0.6602,                0.36485,                 1.5172,                 1.9317,                 1.0826
                     38,                 1.5655,                 1.1369,                0.95112,              0.0092872,              0.0092872,              0.0092872,                0.64568,                0.75118,                0.78734,                0.41704,                 1.4732,                 1.1076,                 1.0552
                     39,                 1.5526,                  1.051,                0.94529,              0.0092674,              0.0092674,              0.0092674,                0.72509,                0.72484,                 0.7694,                0.43414,                 1.4139,                 1.1101,                 1.0222
                     40,                 1.5091,                 1.0959,                0.94417,              0.0092476,              0.0092476,              0.0092476,                0.72825,                0.81679,                 0.8289,                0.41446,                 1.5162,                 1.0854,                 1.0333
                     41,                 1.5551,                 1.0627,                 0.9532,              0.0092278,              0.0092278,              0.0092278,                0.67911,                0.74314,                0.79442,                0.45315,                 1.4694,                 1.0494,                 1.0707
                     42,                 1.4848,                 1.0385,                 0.9521,               0.009208,               0.009208,               0.009208,                0.72984,                0.76303,                0.81123,                0.45522,                 1.3419,                 1.1556,                 1.0085
                     43,                 1.4645,                 1.1151,                0.91996,              0.0091882,              0.0091882,              0.0091882,                 0.7961,                0.83969,                0.86267,                0.51449,                 1.3367,                0.94529,                0.99824
                     44,                 1.4952,                 1.0601,                0.92782,              0.0091684,              0.0091684,              0.0091684,                0.81111,                0.80153,                0.85314,                0.51576,                 1.3592,                0.96684,                 1.0059
                     45,                 1.4825,                 1.0179,                0.92297,              0.0091486,              0.0091486,              0.0091486,                0.73784,                0.78626,                0.77519,                0.40776,                  1.477,                 1.2338,                 1.0351
                     46,                 1.5186,                  1.068,                0.93381,              0.0091288,              0.0091288,              0.0091288,                0.74349,                0.71756,                0.79081,                0.43898,                 1.4388,                 1.1343,                 1.0223
                     47,                 1.4974,                 1.0774,                0.92315,               0.009109,               0.009109,               0.009109,                 0.5811,                0.84715,                 0.6937,                 0.3377,                  1.566,                 1.2236,                 1.0665
                     48,                 1.5042,                 1.0356,                0.93504,              0.0090892,              0.0090892,              0.0090892,                0.74431,                0.83969,                 0.8117,                0.40508,                 1.5343,                 1.1457,                 1.0362
                     49,                 1.4793,                 1.0261,                0.92889,              0.0090694,              0.0090694,              0.0090694,                0.73376,                0.75573,                0.74586,                0.43418,                 1.3745,                 1.4267,                 1.0109
                     50,                 1.4923,                 1.0057,                0.92957,              0.0090496,              0.0090496,              0.0090496,                0.79704,                0.74945,                0.83526,                 0.4673,                 1.4494,                 1.1835,                 1.0158
                     51,                 1.4792,                0.99165,                0.92264,              0.0090298,              0.0090298,              0.0090298,                0.77416,                0.81122,                0.84995,                0.45828,                 1.4345,                0.99397,                0.99696
                     52,                 1.5116,                0.98655,                0.92913,                0.00901,                0.00901,                0.00901,                0.63439,                0.75573,                0.79157,                0.44416,                 1.3938,                 1.3079,                 1.0121
                     53,                 1.4337,                0.99742,                0.93517,              0.0089902,              0.0089902,              0.0089902,                0.80455,                0.77863,                 0.8707,                0.50093,                 1.3813,                 1.0096,                 0.9962
                     54,                 1.4566,                 1.0651,                0.92461,              0.0089704,              0.0089704,              0.0089704,                 0.7647,                0.80153,                0.84025,                0.47033,                 1.3976,                 1.0213,                0.98263
                     55,                 1.4589,                0.97457,                 0.9163,              0.0089506,              0.0089506,              0.0089506,                0.76484,                0.83206,                0.83186,                0.44087,                 1.4188,                 1.0278,                0.99176
                     56,                 1.4233,                 1.0006,                 0.9204,              0.0089308,              0.0089308,              0.0089308,                0.76212,                0.78626,                0.85568,                0.49497,                  1.401,                0.98903,                 0.9993
                     57,                 1.4451,                0.93093,                0.90348,               0.008911,               0.008911,               0.008911,                 0.7535,                0.87023,                 0.8501,                0.49089,                 1.3655,                 1.0247,                0.98727
                     58,                 1.4265,                0.93082,                0.92326,              0.0088912,              0.0088912,              0.0088912,                0.80973,                0.81679,                 0.8664,                0.52374,                 1.3232,                0.96065,                0.98399
                     59,                 1.4255,                0.98873,                0.92514,              0.0088714,              0.0088714,              0.0088714,                0.75893,                0.83206,                0.81554,                0.43413,                 1.5434,                 1.0294,                 1.0605
                     60,                 1.4162,                 0.9052,                0.92101,              0.0088516,              0.0088516,              0.0088516,                0.83339,                0.80183,                0.85992,                0.48067,                   1.34,                0.95521,                 0.9849
                     61,                 1.4148,                0.96012,                0.90549,              0.0088318,              0.0088318,              0.0088318,                0.76178,                0.85496,                0.87398,                0.51119,                 1.3161,                0.96811,                 0.9729
                     62,                 1.3772,                 0.9636,                0.90456,               0.008812,               0.008812,               0.008812,                0.75151,                0.82443,                0.84609,                0.50466,                 1.2936,                0.97959,                0.97944
                     63,                 1.3792,                0.98774,                0.90162,              0.0087922,              0.0087922,              0.0087922,                0.81899,                0.75986,                0.85755,                0.50066,                   1.33,                 1.0165,                0.97611
                     64,                 1.4022,                0.98826,                0.91522,              0.0087724,              0.0087724,              0.0087724,                0.78866,                0.80916,                0.87574,                0.51951,                 1.3563,                0.98043,                0.99346
                     65,                 1.4015,                0.95359,                0.90928,              0.0087526,              0.0087526,              0.0087526,                0.77313,                0.80646,                0.84334,                 0.4869,                 1.3915,                 1.0349,                0.99991
                     66,                 1.3727,                0.96518,                0.91002,              0.0087328,              0.0087328,              0.0087328,                0.72527,                0.84733,                0.84044,                0.49428,                  1.339,                 1.0497,                 1.0099
                     67,                 1.3957,                0.93385,                0.91729,               0.008713,               0.008713,               0.008713,                0.69992,                0.81903,                0.76356,                0.37717,                 1.6417,                   1.31,                 1.0473
                     68,                 1.4001,                0.93387,                0.91888,              0.0086932,              0.0086932,              0.0086932,                0.80068,                0.81679,                 0.8246,                0.48056,                 1.3445,                0.95071,                0.97296
                     69,                 1.3646,                0.94141,                0.90411,              0.0086734,              0.0086734,              0.0086734,                0.66701,                0.73397,                 0.7199,                0.34402,                 1.6202,                  1.679,                 1.0465
                     70,                 1.3913,                0.96841,                0.91768,              0.0086536,              0.0086536,              0.0086536,                0.85241,                0.70541,                0.84089,                0.46009,                 1.4947,                  1.135,                 1.0208
                     71,                 1.4247,                0.88535,                0.91076,              0.0086338,              0.0086338,              0.0086338,                0.81485,                0.79389,                0.83473,                0.45118,                 1.5414,                0.96669,                 1.0653
                     72,                 1.3782,                0.85341,                0.90974,               0.008614,               0.008614,               0.008614,                0.81293,                0.83206,                0.85357,                0.48822,                  1.448,                 0.9527,                  1.047
                     73,                 1.4175,                0.87699,                0.90792,              0.0085942,              0.0085942,              0.0085942,                0.81048,                0.80153,                0.85123,                0.48224,                 1.3759,                0.97274,                 1.0035
                     74,                 1.4367,                0.86514,                0.91574,              0.0085744,              0.0085744,              0.0085744,                0.84688,                0.75997,                0.85196,                0.49721,                 1.2978,                 1.1479,                0.96936
                     75,                 1.3602,                0.86659,                0.89819,              0.0085546,              0.0085546,              0.0085546,                0.72051,                0.80687,                0.77085,                0.43006,                 1.4832,                 1.1346,                  1.027
                     76,                  1.394,                 0.8316,                 0.9004,              0.0085348,              0.0085348,              0.0085348,                0.85873,                0.74242,                0.88364,                0.51717,                 1.4348,                 1.0131,                0.98342
                     77,                 1.3434,                0.88045,                0.90467,               0.008515,               0.008515,               0.008515,                0.77938,                0.83599,                0.86665,                0.52506,                 1.3674,                 1.3637,                0.98379
                     78,                 1.3831,                0.90862,                0.89456,              0.0084952,              0.0084952,              0.0084952,                0.85067,                0.78278,                0.88873,                0.52855,                 1.3281,                0.96938,                0.98602
                     79,                  1.386,                0.86483,                0.90711,              0.0084754,              0.0084754,              0.0084754,                0.87629,                0.75573,                0.87909,                0.53646,                    1.3,                0.89876,                0.97345
                     80,                 1.3382,                0.85297,                 0.9051,              0.0084556,              0.0084556,              0.0084556,                0.80477,                0.83969,                0.89742,                0.53759,                  1.298,                0.86203,                0.97658
                     81,                 1.3674,                0.80872,                0.90568,              0.0084358,              0.0084358,              0.0084358,                0.85778,                0.83206,                0.88955,                0.51755,                  1.413,                0.93084,                0.99396
                     82,                 1.3836,                0.82641,                0.90961,               0.008416,               0.008416,               0.008416,                 0.8557,                0.76956,                0.85519,                0.49926,                 1.3586,                 1.0919,                0.98638
                     83,                 1.3521,                0.82326,                0.89769,              0.0083962,              0.0083962,              0.0083962,                 0.7944,                0.76689,                0.78824,                0.37572,                 1.7373,                 1.1304,                 1.1393
                     84,                 1.3291,                0.84502,                0.89185,              0.0083764,              0.0083764,              0.0083764,                0.86262,                0.81485,                0.83743,                0.48407,                 1.3661,                0.93958,                0.98869
                     85,                 1.3653,                0.85419,                0.90359,              0.0083566,              0.0083566,              0.0083566,                0.94723,                0.82214,                0.92113,                 0.5628,                 1.2978,                0.83682,                0.97775
                     86,                 1.3227,                0.81771,                0.91983,              0.0083368,              0.0083368,              0.0083368,                0.83516,                0.80153,                0.89546,                0.51341,                 1.3076,                0.91409,                0.96835
                     87,                 1.3635,                0.83276,                0.90065,               0.008317,               0.008317,               0.008317,                0.80244,                0.87786,                0.87381,                0.51134,                 1.3781,                 0.9131,                0.98118
                     88,                 1.3572,                0.81821,                0.89529,              0.0082972,              0.0082972,              0.0082972,                0.82715,                0.84019,                0.87008,                0.50487,                 1.3548,                 0.9667,                0.98659
                     89,                 1.3694,                0.82135,                0.89188,              0.0082774,              0.0082774,              0.0082774,                    0.8,                0.87786,                0.88213,                0.49907,                 1.4798,                0.91434,                 1.0329
                     90,                 1.3193,                0.86106,                0.91998,              0.0082576,              0.0082576,              0.0082576,                0.74131,                0.87503,                0.88713,                0.56614,                 1.2816,                0.89349,                0.98258
                     91,                 1.2872,                0.79802,                0.89365,              0.0082378,              0.0082378,              0.0082378,                0.84158,                0.85159,                 0.9057,                0.55792,                 1.3066,                0.94305,                0.97339
                     92,                 1.3305,                0.80933,                0.89364,               0.008218,               0.008218,               0.008218,                0.75027,                0.77863,                0.74588,                0.37413,                 1.6049,                 1.0031,                 1.0713
                     93,                 1.3204,                0.82527,                0.90145,              0.0081982,              0.0081982,              0.0081982,                0.81408,                0.83206,                0.88158,                0.53879,                 1.2991,                0.85983,                 0.9682
                     94,                 1.3699,                0.81706,                 0.8921,              0.0081784,              0.0081784,              0.0081784,                0.80638,                0.77099,                0.85467,                0.47708,                 1.4111,                0.96761,                0.99925
                     95,                  1.331,                0.83944,                0.88913,              0.0081586,              0.0081586,              0.0081586,                0.82301,                 0.8164,                0.86481,                 0.5346,                 1.3081,                0.95866,                0.97512
                     96,                 1.3207,                0.80663,                 0.8985,              0.0081388,              0.0081388,              0.0081388,                0.67795,                0.83206,                0.76523,                0.41645,                 1.4977,                0.98293,                 1.0353
                     97,                 1.3015,                0.82009,                0.88871,               0.008119,               0.008119,               0.008119,                0.81705,                0.77863,                0.87368,                0.53287,                 1.2985,                0.90184,                0.97901
                     98,                 1.3576,                0.79586,                0.88878,              0.0080992,              0.0080992,              0.0080992,                0.92178,                0.82443,                0.92094,                0.55671,                  1.344,                0.84865,                0.97066
                     99,                 1.2886,                0.76237,                0.89793,              0.0080794,              0.0080794,              0.0080794,                0.93109,                0.82518,                0.91747,                0.54385,                  1.373,                 0.8213,                0.97232
                    100,                 1.2937,                0.75453,                0.89516,              0.0080596,              0.0080596,              0.0080596,                0.77581,                0.85496,                0.86631,                0.52462,                  1.306,                0.97205,                0.98028
                    101,                 1.3012,                0.76339,                0.89897,              0.0080398,              0.0080398,              0.0080398,                0.87844,                 0.8626,                0.92537,                0.57301,                 1.2993,                0.84049,                0.96291
                    102,                 1.2797,                 0.8223,                0.88852,                0.00802,                0.00802,                0.00802,                0.60138,                0.77099,                0.68013,                0.36821,                 1.6233,                 1.1023,                 1.0756
                    103,                 1.2712,                0.75636,                0.88188,              0.0080002,              0.0080002,              0.0080002,                0.89158,                0.82443,                0.88765,                0.54925,                 1.2946,                0.98113,                0.97658
                    104,                 1.2817,                 0.7784,                0.89373,              0.0079804,              0.0079804,              0.0079804,                0.84618,                0.80916,                0.88417,                0.53355,                 1.3483,                0.92674,                0.98141
                    105,                 1.3346,                0.77177,                0.90244,              0.0079606,              0.0079606,              0.0079606,                0.85444,                0.85136,                0.89045,                0.55631,                  1.302,                 0.9346,                0.95915
                    106,                 1.2981,                0.80615,                0.88144,              0.0079408,              0.0079408,              0.0079408,                 0.9021,                0.85496,                0.90882,                0.53551,                 1.3396,                0.80183,                0.97268
